                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4864,                 3.8066,                 1.8916,                0.90716,                   0.25,                0.30881,                0.27031,                 1.6274,                 3.8483,                  1.812,               0.067846,             0.00032479,             0.00032479
                      2,                 1.3477,                 2.8131,                 1.7647,                0.70469,                0.48292,                0.50178,                0.39466,                 1.4057,                 2.5136,                 1.6053,                0.03484,              0.0006516,              0.0006516
                      3,                 1.2179,                 2.2198,                  1.663,                0.71271,                0.64448,                0.65938,                 0.4532,                 1.3281,                 2.1076,                 1.4735,              0.0018265,             0.00097182,             0.00097182
                      4,                 1.1279,                 1.8159,                 1.5822,                0.70326,                0.71756,                0.75149,                0.48853,                 1.3344,                 1.6176,                 1.4606,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.1229,                 1.5697,                 1.5386,                0.84724,                0.66461,                0.81015,                0.50539,                 1.2417,                 1.1856,                 1.3813,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.0695,                 1.3799,                  1.484,                0.66435,                0.81459,                0.79862,                0.54083,                 1.1671,                 1.0838,                 1.3374,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.0628,                 1.2957,                 1.4665,                0.82744,                0.78949,                0.84509,                0.62574,                 1.0871,                0.93096,                 1.2735,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.0074,                  1.188,                 1.4216,                0.88679,                0.76652,                0.87992,                0.67137,                 1.0376,                0.88363,                 1.2603,              0.0009406,              0.0009406,              0.0009406
                      9,                0.91093,                  1.049,                 1.3859,                0.89578,                0.81179,                0.88856,                0.65805,                 1.0663,                0.80982,                 1.2744,              0.0009307,              0.0009307,              0.0009307
                     10,                0.94939,                 1.0528,                 1.3936,                0.87809,                0.84944,                 0.8967,                0.61922,                  1.042,                0.78514,                 1.2534,              0.0009208,              0.0009208,              0.0009208
                     11,                0.92762,                 1.0173,                 1.3696,                 0.8326,                0.79253,                0.87097,                0.59126,                 1.0389,                0.72187,                 1.2823,              0.0009109,              0.0009109,              0.0009109
                     12,                0.91423,                0.96864,                 1.3586,                0.73413,                0.82518,                 0.8679,                0.60157,                0.95918,                0.70934,                 1.2621,               0.000901,               0.000901,               0.000901
                     13,                 0.9584,                 1.0037,                  1.402,                0.84061,                0.81464,                0.87494,                0.62995,                 1.0351,                0.72046,                 1.3189,              0.0008911,              0.0008911,              0.0008911
                     14,                0.86357,                0.87665,                 1.3077,                0.90926,                0.75803,                0.88358,                0.65809,                 0.9756,                0.77967,                 1.2356,              0.0008812,              0.0008812,              0.0008812
                     15,                0.83538,                0.84423,                 1.2939,                0.91299,                0.77331,                 0.8838,                0.64636,                 1.0336,                0.77783,                 1.2824,              0.0008713,              0.0008713,              0.0008713
                     16,                 0.8641,                0.86324,                 1.3209,                0.89483,                0.83365,                0.88309,                 0.6627,                0.99554,                0.74354,                 1.2289,              0.0008614,              0.0008614,              0.0008614
                     17,                0.81606,                0.81004,                  1.272,                0.84919,                0.85303,                0.89427,                0.63779,                 1.0526,                0.75955,                 1.2742,              0.0008515,              0.0008515,              0.0008515
                     18,                0.86341,                 0.8094,                 1.3027,                0.88759,                0.78719,                0.86916,                0.62214,                 1.0664,                 0.7589,                 1.2851,              0.0008416,              0.0008416,              0.0008416
                     19,                0.81822,                0.78568,                 1.3014,                0.82809,                0.83226,                0.86234,                0.62718,                 1.0048,                0.70527,                  1.273,              0.0008317,              0.0008317,              0.0008317
                     20,                0.83019,                0.76192,                 1.2903,                0.84605,                0.84585,                0.88538,                0.64266,                0.99466,                0.69782,                 1.2615,              0.0008218,              0.0008218,              0.0008218
                     21,                0.78975,                0.71573,                 1.2867,                0.82845,                 0.7949,                0.84155,                0.64103,                0.93353,                0.66986,                 1.1826,              0.0008119,              0.0008119,              0.0008119
                     22,                0.79728,                0.69524,                 1.2616,                0.90109,                0.75735,                0.87447,                0.69397,                0.96428,                0.66555,                 1.1952,               0.000802,               0.000802,               0.000802
                     23,                0.77106,                0.72948,                 1.2507,                0.88494,                0.88665,                0.89757,                0.65433,                0.99862,                0.69222,                  1.236,              0.0007921,              0.0007921,              0.0007921
                     24,                0.74127,                0.68752,                 1.2233,                0.96033,                0.79735,                0.90412,                0.65651,                 1.0449,                0.70201,                 1.2797,              0.0007822,              0.0007822,              0.0007822
                     25,                0.74773,                0.67044,                 1.2143,                0.96749,                0.82058,                0.91665,                0.67757,                 0.9593,                0.65168,                 1.2086,              0.0007723,              0.0007723,              0.0007723
                     26,                0.72306,                0.63998,                 1.2199,                0.76604,                0.84365,                0.86069,                0.68982,                0.98271,                0.70388,                 1.2319,              0.0007624,              0.0007624,              0.0007624
                     27,                0.73654,                0.64888,                 1.2057,                 0.7578,                0.73398,                0.81355,                0.58997,                 1.0437,                0.81654,                 1.3173,              0.0007525,              0.0007525,              0.0007525
